wmi	make	country	region	source	all_makes
000	MASERATI			VININFO	
001	HARTFORD	GERMANY	EUROPE	KBA	
002	FORSEN MOTOR	GERMANY	EUROPE	KBA	
003	MITSUBISHI	JAPAN	ASIA	VINGO	
004	ORTEN	GERMANY	EUROPE	KBA	
005	O.K.ANH.BAU	GERMANY	EUROPE	KBA	
006	OHLE	GERMANY	EUROPE	KBA	
007	OBERMANN	GERMANY	EUROPE	KBA	
008	OEHLER	GERMANY	EUROPE	KBA	
009	OTT	GERMANY	EUROPE	KBA	
010	OPPEL	GERMANY	EUROPE	KBA	
011	OELKERS	GERMANY	EUROPE	KBA	
012	OBERMANN,MUELHEIM	GERMANY	EUROPE	KBA	
013	ORTMANN	GERMANY	EUROPE	KBA	
014	OHLMEIER	GERMANY	EUROPE	KBA	
015	EIDAL	GERMANY	EUROPE	KBA	
017	VAN ECK	GERMANY	EUROPE	KBA	
018	CONSTRUCOES PLUMA	GERMANY	EUROPE	KBA	
019	OSTMANN	GERMANY	EUROPE	KBA	
020	OWR ODENWALDWERKE	GERMANY	EUROPE	KBA	
022	ORTWEIN	GERMANY	EUROPE	KBA	
025	DURMUS ÖZGÜL	GERMANY	EUROPE	KBA	
030	DEN OUDSTEN	GERMANY	EUROPE	KBA	
031	BROWN HORSEBOXES	GERMANY	EUROPE	KBA	
038	BYD	UNITED STATES	NORTH AMERICA	VINGO	
039	TALSON	GERMANY	EUROPE	KBA	
040	RIGUAL	GERMANY	EUROPE	KBA	
041	DAF	THE NETHERLANDS		VINGO	
042	DEN OUDSTEN	GERMANY	EUROPE	KBA	
046	MANITOWOC	GERMANY	EUROPE	KBA	
048	MCLAREN F1			WIKI	
04W	BUICK			VININFO	
050	JYKI			VINGO	
051	KNAPEN	GERMANY	EUROPE	KBA	
060	AJP MOTOS	GERMANY	EUROPE	KBA	
069	KRAKER TRAILERS	GERMANY	EUROPE	KBA	
072	MERCEDES-BENZ	UNITED STATES	NORTH AMERICA	VINGO	
083	NOVAL	GERMANY	EUROPE	KBA	
087	CONVERTO	GERMANY	EUROPE	KBA	
094	MECANO-GALVA	GERMANY	EUROPE	KBA	
096	PEL-TUOTE	GERMANY	EUROPE	KBA	
098	SCANIA	UNITED STATES	NORTH AMERICA	VINGO	
0M1	OMME LIFT	GERMANY	EUROPE	KBA	
0VF	FORD			VININFO	
100	MONDIAL	GERMANY	EUROPE	KBA	
103	VLASTUIN R.E.	GERMANY	EUROPE	KBA	
108	GUEVEN	GERMANY	EUROPE	KBA	
10B	BRENNER TANK (TRUCK TRAILER)			WIKI	
10R	E-Z-GO			WIKI	
10T	OSHKOSH CORPORATION			WIKI	
111	ÖZTREYLER	GERMANY	EUROPE	KBA	
112	VOLKSWAGEN			VININFO	
113	FAYMONVILLE	GERMANY	EUROPE	KBA	
114	BAETEN	GERMANY	EUROPE	KBA	
115	MERCEDES-BENZ			VININFO	
117	VOLKSWAGEN			VININFO	
118	ROMSAN	GERMANY	EUROPE	KBA	
119	REPLICA/KIT MAKES			VININFO	
11A	ALUMINIUM BODY	GERMANY	EUROPE	KBA	
11H	HENDRICKSON MOBILE EQUIPMENT, INC. (FIRE ENGINES - INCOMPLETE VEHICLE)			WIKI	
11V	OTTAWA			NHTSA_REPO	
121	ROLLS-ROYCE	UNITED KINGDOM		VINGO	
123	MERCEDES-BENZ			VININFO	
124	CHEVROLET			VININFO	
12A	AVANTI			WIKI	
130	MG	UNITED STATES	NORTH AMERICA	VINGO	
133	BUELL	UNITED STATES	NORTH AMERICA	VINGO	
136	MACK	UNITED STATES	NORTH AMERICA	VINGO	
137	AM			VININFO	
13N	FONTAINE (TRUCK TRAILER)			WIKI	
145	CAMPAGNA MOTORS			WIKI	
155	SSANGYONG	UNITED STATES	NORTH AMERICA	VINGO	
15G	GILLIG BUS			WIKI	
160	FMC	GERMANY	EUROPE	KBA	
168	BASOGLU	GERMANY	EUROPE	KBA	
16C	CLENET COACHWORKS			WIKI	
16X	VIXEN 21 MOTORHOME			WIKI	
174	BYD	UNITED STATES	NORTH AMERICA	VINGO	
175	EKSELS.KONSTR-EKW	GERMANY	EUROPE	KBA	
176	AGRIMAT	GERMANY	EUROPE	KBA	
177	FORD	UNITED STATES	NORTH AMERICA	VINGO	
178	JAGUAR			VININFO	
17N	JOHN DEERE	UNITED STATES	NORTH AMERICA	VINGO	
17V	FORD			VININFO	
180	EOS COACH	GERMANY	EUROPE	KBA	
18X	WRV			NHTSA_REPO	
197	SMITH ELECTRIC VEHICLES US CORP.			WIKI	
198	YAMAHA	UNITED STATES	NORTH AMERICA	VINGO	
19U	HONDA	UNITED STATES	NORTH AMERICA	VINGO	
19V	HONDA	UNITED STATES	NORTH AMERICA	VINGO	
19X	HONDA	UNITED STATES	NORTH AMERICA	VININFO	
1A2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1A3	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1A4	CHRYSLER	UNITED STATES	NORTH AMERICA	VININFO	
1A5	CHRYSLER	GERMANY	EUROPE	KBA	
1A6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1A7	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1A8	CHRYSLER	UNITED STATES	NORTH AMERICA	VININFO	
1A9	SSANGYONG	UNITED STATES	NORTH AMERICA	VINGO	
1AC	JEEP	UNITED STATES	NORTH AMERICA	VINGO	
1AD	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1AE	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1AF	AMERICAN LAFRANCE TRUCK			WIKI	
1AH	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
